1	1	T 542	266	693	373	P 0	0	1280	720	
2	1	T 522	261	677	369	P 0	0	1280	720	
3	1	T 513	264	662	359	P 0	0	1280	720	
4	1	T 508	259	657	356	P 0	0	1280	720	
5	1	T 504	259	654	351	P 0	0	1280	720	
6	1	T 505	256	653	344	P 0	0	1280	720	
7	1	T 509	256	661	345	P 0	0	1280	720	
8	1	T 521	259	670	342	P 0	0	1280	720	
9	1	T 532	254	685	338	P 0	0	1280	720	
10	1	T 554	255	706	333	P 0	0	1280	720	
11	1	T 580	252	733	333	P 0	0	1280	720	
12	1	T 612	250	765	326	P 0	0	1280	720	
13	1	T 647	252	794	321	P 0	0	1280	720	
14	1	T 676	253	826	318	P 0	0	1280	720	
15	1	T 707	250	854	318	P 0	0	1280	720	
16	1	T 736	248	882	312	P 0	0	1280	720	
17	1	T 760	248	908	312	P 0	0	1280	720	
18	1	T 784	248	932	310	P 0	0	1280	720	
19	1	T 808	254	956	315	P 0	0	1280	720	
20	1	T 826	261	974	319	P 0	0	1280	720	
21	1	T 833	275	983	335	P 0	0	1280	720	
22	1	T 836	292	984	351	P 0	0	1280	720	
23	1	T 834	305	984	363	P 0	0	1280	720	
24	1	T 828	321	978	379	P 0	0	1280	720	
25	1	T 817	336	964	395	P 0	0	1280	720	
26	1	T 797	348	943	412	P 0	0	1280	720	
27	1	T 778	357	928	419	P 0	0	1280	720	
28	1	T 758	356	905	423	P 0	0	1280	720	
29	1	T 730	356	884	418	P 0	0	1280	720	
30	1	T 703	357	856	413	P 0	0	1280	720	
31	1	T 669	354	816	401	P 0	0	1280	720	
32	1	T 633	344	783	399	P 0	0	1280	720	
33	1	T 596	321	743	387	P 0	0	1280	720	
34	1	T 556	306	702	371	P 0	0	1280	720	
35	1	T 519	290	659	359	P 0	0	1280	720	
36	1	T 477	275	626	337	P 0	0	1280	720	
37	1	T 443	257	592	333	P 0	0	1280	720	
38	1	T 416	241	563	315	P 0	0	1280	720	
39	1	T 390	229	530	302	P 0	0	1280	720	
40	1	T 361	213	504	289	P 0	0	1280	720	
41	1	T 325	196	472	270	P 0	0	1280	720	
42	1	T 301	180	444	260	P 0	0	1280	720	
43	1	T 271	167	413	247	P 0	0	1280	720	
44	1	T 248	149	389	231	P 0	0	1280	720	
45	1	T 232	136	372	222	P 0	0	1280	720	
46	1	T 268	141	403	226	P 0	0	1280	720	
47	1	T 295	136	433	222	P 0	0	1280	720	
48	1	T 320	140	456	231	P 0	0	1280	720	
49	1	T 376	175	512	266	P 0	0	1280	720	
50	1	T 401	209	536	301	P 0	0	1280	720	
51	1	T 469	256	603	350	P 0	0	1280	720	
52	1	T 515	307	649	400	P 0	0	1280	720	
53	1	T 548	329	683	423	P 0	0	1280	720	
54	1	T 573	343	707	438	P 0	0	1280	720	
55	1	T 608	357	742	454	P 0	0	1280	720	
56	1	T 635	373	768	469	P 0	0	1280	720	
57	1	T 654	381	786	477	P 0	0	1280	720	
58	1	T 668	389	796	486	P 0	0	1280	720	
59	1	T 669	394	803	496	P 0	0	1280	720	
60	1	T 660	400	788	503	P 0	0	1280	720	
61	1	T 653	409	784	508	P 0	0	1280	720	
62	1	T 649	417	779	518	P 0	0	1280	720	
63	1	T 641	425	768	527	P 0	0	1280	720	
64	1	T 619	438	747	541	P 0	0	1280	720	
65	1	T 593	449	719	555	P 0	0	1280	720	
66	1	T 561	460	683	565	P 0	0	1280	720	
67	1	T 528	469	652	572	P 0	0	1280	720	
68	1	T 509	476	623	579	P 0	0	1280	720	
69	1	T 480	468	601	581	P 0	0	1280	720	
70	1	T 462	469	582	575	P 0	0	1280	720	
71	1	T 463	426	579	538	P 0	0	1280	720	
72	1	T 471	412	588	518	P 0	0	1280	720	
73	1	T 490	382	604	490	P 0	0	1280	720	
74	1	T 518	357	631	462	P 0	0	1280	720	
75	1	T 537	321	643	428	P 0	0	1280	720	
76	1	T 553	288	656	393	P 0	0	1280	720	
77	1	T 572	269	674	371	P 0	0	1280	720	
78	1	T 589	257	686	359	P 0	0	1280	720	
79	1	T 598	245	697	347	P 0	0	1280	720	
80	1	T 612	240	704	339	P 0	0	1280	720	
81	1	T 618	242	708	340	P 0	0	1280	720	
82	1	T 611	249	704	345	P 0	0	1280	720	
83	1	T 597	272	693	363	P 0	0	1280	720	
84	1	T 581	311	582	311	P 0	0	1280	720	
85	1	T 670	391	585	336	P 0	0	1280	720	
86	1	T 663	427	594	368	P 0	0	1280	720	
87	1	T 671	453	606	395	P 0	0	1280	720	
88	1	T 684	476	604	426	P 0	0	1280	720	
89	1	T 681	500	603	453	P 0	0	1280	720	
90	1	T 683	531	605	472	P 0	0	1280	720	
91	1	T 678	555	605	481	P 0	0	1280	720	
92	1	T 676	562	601	488	P 0	0	1280	720	
93	1	T 671	567	589	476	P 0	0	1280	720	
94	1	T 661	556	579	452	P 0	0	1280	720	
95	1	T 654	536	576	427	P 0	0	1280	720	
96	1	T 648	505	569	404	P 0	0	1280	720	
97	1	T 638	482	559	388	P 0	0	1280	720	
98	1	T 631	470	552	376	P 0	0	1280	720	
99	1	T 621	457	547	364	P 0	0	1280	720	
100	1	T 616	445	541	349	P 0	0	1280	720	
101	1	T 611	429	536	336	P 0	0	1280	720	
102	1	T 605	414	533	329	P 0	0	1280	720	
103	1	T 601	406	525	321	P 0	0	1280	720	
104	1	T 595	398	521	317	P 0	0	1280	720	
105	1	T 591	395	520	313	P 0	0	1280	720	
106	1	T 592	393	524	313	P 0	0	1280	720	
107	1	T 593	395	528	317	P 0	0	1280	720	
108	1	T 598	394	537	319	P 0	0	1280	720	
109	1	T 606	397	545	321	P 0	0	1280	720	
110	1	T 614	396	557	320	P 0	0	1280	720	
111	1	T 628	400	572	324	P 0	0	1280	720	
112	1	T 644	400	595	330	P 0	0	1280	720	
113	1	T 663	406	618	334	P 0	0	1280	720	
114	1	T 688	410	639	341	P 0	0	1280	720	
115	1	T 708	415	646	344	P 0	0	1280	720	
116	1	T 718	423	650	351	P 0	0	1280	720	
117	1	T 720	427	649	352	P 0	0	1280	720	
118	1	T 725	429	645	358	P 0	0	1280	720	
119	1	T 716	435	641	361	P 0	0	1280	720	
120	1	T 715	433	640	362	P 0	0	1280	720	
121	1	T 711	435	633	361	P 0	0	1280	720	
122	1	T 709	431	630	363	P 0	0	1280	720	
123	1	T 706	430	622	362	P 0	0	1280	720	
124	1	T 696	432	616	358	P 0	0	1280	720	
125	1	T 694	430	609	358	P 0	0	1280	720	
126	1	T 690	424	610	353	P 0	0	1280	720	
127	1	T 686	420	608	348	P 0	0	1280	720	
128	1	T 677	417	606	341	P 0	0	1280	720	
129	1	T 677	405	607	327	P 0	0	1280	720	
130	1	T 672	394	603	316	P 0	0	1280	720	
131	1	T 670	384	604	304	P 0	0	1280	720	
132	1	T 672	373	602	288	P 0	0	1280	720	
133	1	T 670	359	602	271	P 0	0	1280	720	
134	1	T 671	338	605	247	P 0	0	1280	720	
135	1	T 672	312	602	221	P 0	0	1280	720	
136	1	T 673	286	601	198	P 0	0	1280	720	
137	1	T 675	268	602	189	P 0	0	1280	720	
138	1	T 672	256	602	193	P 0	0	1280	720	
139	1	T 671	259	602	192	P 0	0	1280	720	
140	1	T 672	258	602	193	P 0	0	1280	720	
141	1	T 603	181	671	258	P 0	0	1280	720	
142	1	T 672	258	603	186	P 0	0	1280	720	
143	1	T 667	258	600	187	P 0	0	1280	720	
144	1	T 668	251	595	182	P 0	0	1280	720	
145	1	T 665	249	595	183	P 0	0	1280	720	
146	1	T 664	250	593	186	P 0	0	1280	720	
147	1	T 663	255	593	193	P 0	0	1280	720	
